"CPI","Metric","Value"
"CPI: Transport","Increase Rate","37.8%"
"CPI: Transport: Private Transport","Start CPI (2020-01)","71.574"
"CPI: Transport: Private Transport","End CPI (2025-12)","103.488"
"CPI: Transport: Private Transport","Total Increase","31.914"
"CPI: Transport: Private Transport","Increase Rate","44.6%"
"CPI: Transport: Land Transport Services","Start CPI (2020-01)","84.224"
"CPI: Transport: Land Transport Services","End CPI (2025-12)","107.015"
"CPI: Transport: Land Transport Services","Total Increase","22.791"
"CPI: Transport: Land Transport Services","Increase Rate","27.1%"
"CPI: Transport: Other Transport Services","Start CPI (2020-01)","96.574"
"CPI: Transport: Other Transport Services","End CPI (2025-12)","105.616"
"CPI: Transport: Other Transport Services","Total Increase","9.042"
"CPI: Transport: Other Transport Services","Increase Rate","9.4%"
"CPI: Transport: Transport Services Of Goods","Start CPI (2020-01)","93.241"
"CPI: Transport: Transport Services Of Goods","End CPI (2025-12)","98.603"
"CPI: Transport: Transport Services Of Goods","Total Increase","5.362"
"CPI: Transport: Transport Services Of Goods","Increase Rate","5.8%"
"CPI: Information & Communication (InfoComm)","Start CPI (2020-01)","97.672"
"CPI: Information & Communication (InfoComm)","End CPI (2025-12)","98.101"
"CPI: Information & Communication (InfoComm)","Total Increase","0.429"
"CPI: Information & Communication (InfoComm)","Increase Rate","0.4%"
"CPI: InfoComm: Information & Communication Equipment","Start CPI (2020-01)","100.994"
"CPI: InfoComm: Information & Communication Equipment","End CPI (2025-12)","97.223"
"CPI: InfoComm: Information & Communication Equipment","Total Increase","-3.771"
"CPI: InfoComm: Information & Communication Equipment","Increase Rate","-3.7%"
"CPI: InfoComm: Software Excl Games","Start CPI (2020-01)","103.031"
"CPI: InfoComm: Software Excl Games","End CPI (2025-12)","100"
"CPI: InfoComm: Software Excl Games","Total Increase","-3.031"
"CPI: InfoComm: Software Excl Games","Increase Rate","-2.9%"
"CPI: InfoComm: InfoComm Services","Start CPI (2020-01)","97.069"
"CPI: InfoComm: InfoComm Services","End CPI (2025-12)","98.36"
"CPI: InfoComm: InfoComm Services","Total Increase","1.291"
"CPI: InfoComm: InfoComm Services","Increase Rate","1.3%"
"CPI: Recreation, Sport & Culture (RSC)","Start CPI (2020-01)","86.553"
"CPI: Recreation, Sport & Culture (RSC)","End CPI (2025-12)","101.381"
"CPI: Recreation, Sport & Culture (RSC)","Total Increase","14.828"
"CPI: Recreation, Sport & Culture (RSC)","Increase Rate","17.1%"
"CPI: RSC: Recreational & Cultural Goods","Start CPI (2020-01)","95.475"
"CPI: RSC: Recreational & Cultural Goods","End CPI (2025-12)","98.517"
"CPI: RSC: Recreational & Cultural Goods","Total Increase","3.042"
"CPI: RSC: Recreational & Cultural Goods","Increase Rate","3.2%"
"CPI: RSC: Other Recreational Goods (ORG)","Start CPI (2020-01)","101.402"
"CPI: RSC: Other Recreational Goods (ORG)","End CPI (2025-12)","99.942"
"CPI: RSC: Other Recreational Goods (ORG)","Total Increase","-1.46"
"CPI: RSC: Other Recreational Goods (ORG)","Increase Rate","-1.4%"
"CPI: RSC: Garden Products & Pets","Start CPI (2020-01)","87.175"
"CPI: RSC: Garden Products & Pets","End CPI (2025-12)","100.775"
"CPI: RSC: Garden Products & Pets","Total Increase","13.6"
"CPI: RSC: Garden Products & Pets","Increase Rate","15.6%"
"CPI: RSC: Recreational Services","Start CPI (2020-01)","82.376"
"CPI: RSC: Recreational Services","End CPI (2025-12)","101.835"
"CPI: RSC: Recreational Services","Total Increase","19.459"
"CPI: RSC: Recreational Services","Increase Rate","23.6%"
"CPI: RSC: Cultural Services","Start CPI (2020-01)","88.954"
"CPI: RSC: Cultural Services","End CPI (2025-12)","101.518"
"CPI: RSC: Cultural Services","Total Increase","12.564"
"CPI: RSC: Cultural Services","Increase Rate","14.1%"
"CPI: RSC: Newspapers, Books & Stationery (NBS)","Start CPI (2020-01)","96.459"
"CPI: RSC: Newspapers, Books & Stationery (NBS)","End CPI (2025-12)","100.483"
"CPI: RSC: Newspapers, Books & Stationery (NBS)","Total Increase","4.024"
"CPI: RSC: Newspapers, Books & Stationery (NBS)","Increase Rate","4.2%"
"CPI: RSC: Holiday Expenses","Start CPI (2020-01)","85.285"
"CPI: RSC: Holiday Expenses","End CPI (2025-12)","101.494"
"CPI: RSC: Holiday Expenses","Total Increase","16.209"
"CPI: RSC: Holiday Expenses","Increase Rate","19%"
"CPI: Education","Start CPI (2020-01)","90.928"
"CPI: Education","End CPI (2025-12)","101.269"
"CPI: Education","Total Increase","10.341"
"CPI: Education","Increase Rate","11.4%"
"CPI: Education: General, Vocational & Higher Education (GVH Edu)","Start CPI (2020-01)","94.455"
"CPI: Education: General, Vocational & Higher Education (GVH Edu)","End CPI (2025-12)","100.679"
"CPI: Education: General, Vocational & Higher Education (GVH Edu)","Total Increase","6.224"
"CPI: Education: General, Vocational & Higher Education (GVH Edu)","Increase Rate","6.6%"
"CPI: Education: Private Tuition & Other Educational Courses","Start CPI (2020-01)","83.653"
"CPI: Education: Private Tuition & Other Educational Courses","End CPI (2025-12)","102.535"
"CPI: Education: Private Tuition & Other Educational Courses","Total Increase","18.882"
"CPI: Education: Private Tuition & Other Educational Courses","Increase Rate","22.6%"
"CPI: Education: School Textbooks & Study Guides","Start CPI (2020-01)","96.2"
"CPI: Education: School Textbooks & Study Guides","End CPI (2025-12)","100.634"
"CPI: Education: School Textbooks & Study Guides","Total Increase","4.434"
"CPI: Education: School Textbooks & Study Guides","Increase Rate","4.6%"
"CPI: Miscellaneous Goods & Services (MG&S)","Start CPI (2020-01)","96.761"
"CPI: Miscellaneous Goods & Services (MG&S)","End CPI (2025-12)","99.903"
"CPI: Miscellaneous Goods & Services (MG&S)","Total Increase","3.142"
"CPI: Miscellaneous Goods & Services (MG&S)","Increase Rate","3.2%"
"CPI: MG&S: Personal Care","Start CPI (2020-01)","96.009"
"CPI: MG&S: Personal Care","End CPI (2025-12)","100.417"
"CPI: MG&S: Personal Care","Total Increase","4.408"
"CPI: MG&S: Personal Care","Increase Rate","4.6%"
"CPI: MG&S: Alcoholic Drinks & Tobacco","Start CPI (2020-01)","87.705"
"CPI: MG&S: Alcoholic Drinks & Tobacco","End CPI (2025-12)","101.04"
"CPI: MG&S: Alcoholic Drinks & Tobacco","Total Increase","13.335"
"CPI: MG&S: Alcoholic Drinks & Tobacco","Increase Rate","15.2%"
"CPI: MG&S: Personal Effects","Start CPI (2020-01)","100.967"
"CPI: MG&S: Personal Effects","End CPI (2025-12)","97.982"
"CPI: MG&S: Personal Effects","Total Increase","-2.985"
"CPI: MG&S: Personal Effects","Increase Rate","-3%"
"CPI: MG&S: Social Services","Start CPI (2020-01)","102.318"
"CPI: MG&S: Social Services","End CPI (2025-12)","96.709"
"CPI: MG&S: Social Services","Total Increase","-5.609"
"CPI: MG&S: Social Services","Increase Rate","-5.5%"
"CPI: MG&S: Other Miscellaneous Services","Start CPI (2020-01)","103.641"
"CPI: MG&S: Other Miscellaneous Services","End CPI (2025-12)","100.528"
"CPI: MG&S: Other Miscellaneous Services","Total Increase","-3.113"
"CPI: MG&S: Other Miscellaneous Services","Increase Rate","-3%"
